Ensembl	Gene_Name	logConc	p.value	Fold_Change	q.value	DE	Low_read_count	D2_SNP_correction	flip_flop	Affymetrix_ProbeID	Affymetrix_Fold_Change	Affymetrix_q.value	Illumina_Probe_ID 	Illumina_Fold_Change 	Illumina_q.value	Biotype 	Chr	Gene_start	Gene_Description
ENSMUSG00000000544	Gpa33	-22.37	4.7212E-65	0.01	2.3062E-62	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	168060548	glycoprotein A33 (transmembrane) Gene [Source:MGI (curated);Acc:MGI:1891703]
ENSMUSG00000068299	1700019G17Rik	-19.24	3.8883E-63	8.29	1.8130E-60	1	0	4	0	1436669_at	5.65	1.1988E-12	ILMN_2758803	1.49	3.21E-08	protein_coding	6	85849045	RIKEN cDNA 1700019G17 gene Gene [Source:MGI Symbol;Acc:MGI:1922791]
ENSMUSG00000040860	Crocc	-13.75	1.6432E-61	4.01	7.3288E-59	1	0	4	0	1427338_at	1.81	4.4707E-09	N/A	N/A	N/A	protein_coding	4	140572552	"ciliary rootlet coiled-coil, rootletin Gene [Source:MGI (curated);Acc:MGI:3529431]"
ENSMUSG00000072572	Slc39a2	-16.90	1.1564E-60	4.60	4.9425E-58	1	0	4	0	1443163_at	2.23	1.1936E-09	N/A	N/A	N/A	protein_coding	14	52512564	"solute carrier family 39 (zinc transporter), member 2 Gene [Source:MGI (curated);Acc:MGI:2684326]"
ENSMUSG00000050211	Pla2g4e	-16.74	2.2838E-58	0.22	9.3710E-56	1	0	4	0	1429862_at	0.55	1.6242E-08	ILMN_2774916	0.90	1.28E-01	protein_coding	2	119992148	"phospholipase A2, group IVE Gene [Source:MGI (curated);Acc:MGI:1919144]"
ENSMUSG00000024114	Prss41	-20.20	4.4343E-53	0.09	1.7495E-50	1	1	4	0	N/A	N/A	N/A	ILMN_2650180	0.66	3.31E-07	protein_coding	17	23973752	"protease, serine, 41 Gene [Source:MGI Symbol;Acc:MGI:1918253]"
ENSMUSG00000061808	Ttr	-13.91	1.2530E-52	3.54	4.7605E-50	1	0	4	0	1459737_s_at	1.40	4.6247E-01	ILMN_2443330	2.18	1.62E-01	protein_coding	18	20823914	transthyretin Gene [Source:MGI Symbol;Acc:MGI:98865]
ENSMUSG00000040483	Xaf1	-22.00	1.6988E-52	0.01	6.2236E-50	1	1	4	0	1443621_at	0.32	1.8570E-10	N/A	N/A	N/A	protein_coding	11	72115131	XIAP associated factor 1 Gene [Source:MGI (curated);Acc:MGI:3772572]
ENSMUSG00000066800	Rnasel	-18.48	3.2462E-51	5.21	1.1482E-48	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	155600060	"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) Gene [Source:MGI Symbol;Acc:MGI:1098272]"
ENSMUSG00000027855	Sycp1	-34.62	6.1175E-51	0.00	2.0917E-48	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	3	102622573	synaptonemal complex protein 1 Gene [Source:MGI Symbol;Acc:MGI:105931]
ENSMUSG00000020912	Krt12	-19.49	3.8083E-49	7.26	1.2602E-46	1	0	4	0	1419230_at	4.52	2.6467E-08	ILMN_2865527	3.67	1.63E-09	protein_coding	11	99276980	keratin 12 Gene [Source:MGI (curated);Acc:MGI:96687]
ENSMUSG00000028392	Bspry	-19.21	5.1623E-49	0.16	1.6548E-46	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	4	62141087	B-box and SPRY domain containing Gene [Source:MGI (curated);Acc:MGI:2177191]
ENSMUSG00000002324	Rec8	-20.36	2.4595E-48	12.00	7.6453E-46	1	1	4	0	N/A	N/A	N/A	ILMN_2684093	1.52	1.22E-07	protein_coding	14	56236874	REC8 homolog (yeast) Gene [Source:MGI (curated);Acc:MGI:1929645]
ENSMUSG00000085882	RP23-192P17.5	-19.70	3.6918E-48	7.53	1.1138E-45	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	11	59013338	N/A
ENSMUSG00000072844	RP23-154O12.1	-18.13	4.2003E-48	4.65	1.2310E-45	1	0	4	0	1440342_at	3.54	2.6473E-08	N/A	N/A	N/A	processed_transcript	X	166412975	"RIKEN cDNA G530011O06 gene (G530011O06Rik), non-coding RNA [Source:RefSeq DNA;Acc:NR_029457]"
ENSMUSG00000040629	Mael	-21.86	6.1101E-48	0.02	1.7410E-45	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	168131516	maelstrom homolog (Drosophila) Gene [Source:MGI (curated);Acc:MGI:2138453]
ENSMUSG00000019232	Agxt2l1	-17.31	9.2455E-48	3.95	2.5632E-45	1	0	4	0	1452975_at	2.38	2.0894E-04	ILMN_1229990	1.53	2.58E-05	protein_coding	3	130320493	alanine-glyoxylate aminotransferase 2-like 1 Gene [Source:MGI Symbol;Acc:MGI:1919010]
ENSMUSG00000032343	Impg1	-19.96	2.1679E-47	8.37	5.8523E-45	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	9	80160894	interphotoreceptor matrix proteoglycan 1 Gene [Source:MGI Symbol;Acc:MGI:1926876]
ENSMUSG00000015484	Fam163a	-17.73	1.0624E-46	4.22	2.7944E-44	1	0	4	0	1457112_at	1.77	1.5264E-05	ILMN_2890145	1.25	1.37E-05	protein_coding	1	157923096	"family with sequence similarity 163, member A Gene [Source:MGI Symbol;Acc:MGI:3618859]"
ENSMUSG00000086652	RP23-160G19.1	-20.85	4.3930E-46	0.07	1.1266E-43	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	2	129008218	N/A
ENSMUSG00000054594	Oscar	-21.00	5.1955E-45	15.04	1.2999E-42	1	1	4	0	N/A	N/A	N/A	ILMN_1215466	1.50	4.78E-05	protein_coding	7	3561415	osteoclast associated receptor Gene [Source:MGI (curated);Acc:MGI:2179720]
ENSMUSG00000076612	Igh-1b	-22.24	3.8535E-44	47.47	9.4115E-42	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	IG_C_gene	12	114525600	immunoglobulin heavy chain 1a (serum IgG2a) Gene [Source:MGI Symbol;Acc:MGI:96443]
ENSMUSG00000028393	Alad	-15.85	4.2994E-43	0.29	1.0256E-40	1	0	4	0	1424877_a_at	0.40	3.1274E-09	ILMN_2655015	0.46	3.90E-09	protein_coding	4	62170203	"aminolevulinate, delta-, dehydratase Gene [Source:MGI (curated);Acc:MGI:96853]"
ENSMUSG00000046101	6030422M02Rik	-21.07	9.7056E-43	14.97	2.2627E-40	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	9898719	RIKEN cDNA 6030422M02 gene Gene [Source:MGI Symbol;Acc:MGI:3045334]
ENSMUSG00000085642	RP23-33N12.1	-22.32	2.0978E-41	42.91	4.7821E-39	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	12	20879986	N/A
ENSMUSG00000044783	Hjurp	-14.45	4.0740E-41	3.08	9.0849E-39	1	0	4	0	1433685_a_at	2.69	1.7176E-13	ILMN_3011719	2.22	5.50E-07	protein_coding	1	90159046	Holliday junction recognition protein Gene [Source:MGI (curated);Acc:MGI:2685821]
ENSMUSG00000038422	Hdhd3	-17.44	4.0225E-40	0.27	8.7792E-38	1	0	4	0	1425343_at	0.55	3.8256E-08	ILMN_2608145	0.59	2.51E-08	protein_coding	4	62160042	haloacid dehalogenase-like hydrolase domain containing 3 Gene [Source:MGI (curated);Acc:MGI:1919998]
ENSMUSG00000021091	Serpina3n	-16.60	9.8760E-40	0.30	2.1106E-37	1	0	4	0	1419100_at	0.47	8.2354E-09	ILMN_1246800	0.37	2.55E-12	protein_coding	12	105644939	"serine (or cysteine) peptidase inhibitor, clade A, member 3N Gene [Source:MGI (curated);Acc:MGI:105045]"
ENSMUSG00000071984	Fndc1	-16.40	1.3849E-39	0.30	2.8992E-37	1	0	4	0	1453321_at	0.51	4.7481E-10	N/A	N/A	N/A	protein_coding	17	7931433	fibronectin type III domain containing 1 Gene [Source:MGI Symbol;Acc:MGI:1915905]
ENSMUSG00000074252	Gm10654	-22.13	8.0549E-39	38.10	1.6525E-36	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	8	73455304	predicted gene 10654 Gene [Source:MGI Symbol;Acc:MGI:3643366]
ENSMUSG00000035299	Mid1	-15.84	5.6455E-38	3.06	1.1355E-35	1	0	4	0	1438239_at	4.15	6.2800E-07	ILMN_3159435	1.48	1.61E-06	protein_coding	X	166123131	midline 1 Gene [Source:MGI (curated);Acc:MGI:1100537]
ENSMUSG00000035238	Kcnk15	-20.85	1.1474E-37	0.09	2.2635E-35	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	163679469	"potassium channel, subfamily K, member 15 Gene [Source:MGI (curated);Acc:MGI:2675209]"
ENSMUSG00000033770	Clcnka	-23.38	2.4164E-37	0.01	4.6767E-35	1	1	4	0	N/A	N/A	N/A	ILMN_1250227	0.69	6.56E-03	protein_coding	4	140940525	chloride channel Ka Gene [Source:MGI (curated);Acc:MGI:1329026]
ENSMUSG00000002396	Ocel1	-18.13	5.4953E-37	0.25	1.0439E-34	1	0	4	0	1425191_at	0.52	5.9232E-08	N/A	N/A	N/A	protein_coding	8	73895197	occludin/ELL domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1924340]
ENSMUSG00000062822	4833420G17Rik	-15.89	1.1493E-36	3.00	2.1436E-34	1	0	4	0	1419635_at	3.49	3.4205E-13	ILMN_1223318	2.15	3.12E-05	protein_coding	13	120251579	RIKEN cDNA 4833420G17 gene Gene [Source:MGI Symbol;Acc:MGI:1914642]
ENSMUSG00000026042	Col5a2	-17.78	8.4274E-36	0.28	1.5437E-33	1	0	4	0	1450625_at	0.43	3.5964E-07	N/A	N/A	N/A	protein_coding	1	45431166	"collagen, type V, alpha 2 Gene [Source:MGI (curated);Acc:MGI:88458]"
ENSMUSG00000072982	9230009I02Rik	-22.61	1.0960E-35	44.56	1.9724E-33	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	11	50898589	RIKEN cDNA 9230009I02 gene Gene [Source:MGI Symbol;Acc:MGI:3588229]
ENSMUSG00000054579	4930485B16Rik	-18.91	2.6441E-35	0.23	4.6764E-33	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	10	92360067	RIKEN cDNA 4930485B16 gene Gene [Source:MGI Symbol;Acc:MGI:1922208]
ENSMUSG00000073643	Wdfy1	-14.84	1.3156E-34	0.35	2.2873E-32	1	0	4	0	1435588_at	0.31	9.2313E-10	N/A	N/A	N/A	protein_coding	1	79698837	WD repeat and FYVE domain containing 1 Gene [Source:MGI (curated);Acc:MGI:1916618]
ENSMUSG00000074634	Gm7120	-16.61	1.4880E-34	3.02	2.5439E-32	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	13	120276846	predicted gene 7120 Gene [Source:MGI Symbol;Acc:MGI:3648543]
ENSMUSG00000069041	Slc25a31	-21.95	2.0339E-34	0.04	3.4202E-32	1	1	4	0	1453133_at	0.40	1.7378E-09	N/A	N/A	N/A	protein_coding	3	40512777	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 Gene [Source:MGI (curated);Acc:MGI:1920583]"
ENSMUSG00000072494	Ppp1r3e	-18.41	2.1026E-34	3.79	3.4787E-32	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	14	55491518	"protein phosphatase 1, regulatory (inhibitor) subunit 3E Gene [Source:MGI (curated);Acc:MGI:2145790]"
ENSMUSG00000046152	Fut10	-17.37	3.2726E-33	3.13	5.3287E-31	1	0	4	0	1427617_at	1.30	2.3328E-03	ILMN_3011294	1.44	1.14E-07	protein_coding	8	32297803	fucosyltransferase 10 Gene [Source:MGI (curated);Acc:MGI:2384748]
ENSMUSG00000074064	Mlycd	-14.91	6.1466E-33	0.36	9.8518E-31	1	0	4	0	1449964_a_at	0.60	9.3511E-08	ILMN_1249691	0.70	6.71E-02	protein_coding	8	121918778	malonyl-CoA decarboxylase Gene [Source:MGI (curated);Acc:MGI:1928485]
ENSMUSG00000049571	9330101J02Rik	-17.91	6.3507E-33	0.29	1.0022E-30	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	7	146824677	RIKEN cDNA 9330101J02 gene Gene [Source:MGI Symbol;Acc:MGI:2444387]
ENSMUSG00000061462	Obscn	-15.61	8.1928E-33	0.35	1.2733E-30	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	11	58807761	"obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF Gene [Source:MGI (curated);Acc:MGI:2681862]"
ENSMUSG00000026579	F5	-19.03	1.0792E-32	4.02	1.6523E-30	1	0	4	0	1449269_at	0.62	2.4451E-01	N/A	N/A	N/A	protein_coding	1	166081969	coagulation factor V Gene [Source:MGI (curated);Acc:MGI:88382]
ENSMUSG00000066553	RP23-431C5.1	-17.03	1.3545E-32	0.33	2.0432E-30	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	pseudogene	12	25323256	N/A
ENSMUSG00000033488	BC026585	-19.55	2.5840E-32	4.90	3.8415E-30	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	159388711	Quinone oxidoreductase-like protein 2 (EC 1.-.-.-) [Source:UniProtKB/Swiss-Prot;Acc:Q3UNZ8]
ENSMUSG00000040113	Mettl11b	-20.49	4.5740E-32	7.06	6.7029E-30	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	1	165632388	methyltransferase like 11B Gene [Source:MGI (curated);Acc:MGI:2685053]
ENSMUSG00000082286	Pisd-ps1	-14.22	8.2902E-32	0.37	1.1978E-29	1	0	4	0	1435353_a_at	0.45	2.3263E-08	ILMN_2944601	0.43	1.49E-08	processed_transcript	11	3025789	"phosphatidylserine decarboxylase, pseudogene 1 Pseudogene [Source:MGI (curated);Acc:MGI:3842428]"
ENSMUSG00000067235	H2-Q10	-23.59	1.3342E-31	0.01	1.9008E-29	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	35607034	"histocompatibility 2, Q region locus 10 Gene [Source:MGI Symbol;Acc:MGI:95929]"
ENSMUSG00000026355	Mcm6	-18.92	2.5705E-31	3.97	3.6121E-29	1	0	4	0	1416251_at	1.96	7.4914E-09	ILMN_1233857	1.10	1.99E-02	protein_coding	1	130228168	"minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae) Gene [Source:MGI Symbol;Acc:MGI:1298227]"
ENSMUSG00000029816	Gpnmb	-21.69	5.2735E-31	15.09	7.3102E-29	1	1	4	0	N/A	N/A	N/A	ILMN_2648669	1.38	8.74E-06	protein_coding	6	48986612	glycoprotein (transmembrane) nmb Gene [Source:MGI Symbol;Acc:MGI:1934765]
ENSMUSG00000030532	Hddc3	-16.29	8.1853E-31	0.35	1.1195E-28	1	0	4	0	1428692_at	0.34	2.4637E-09	N/A	N/A	N/A	protein_coding	7	87488023	HD domain containing 3 Gene [Source:MGI Symbol;Acc:MGI:1915945]
ENSMUSG00000004341	Gpx6	-19.42	9.7147E-31	4.39	1.3112E-28	1	0	4	0	1452135_at	2.00	3.7802E-07	N/A	N/A	N/A	protein_coding	13	21404086	glutathione peroxidase 6 Gene [Source:MGI (curated);Acc:MGI:1922762]
ENSMUSG00000064369	AY172335.11	-16.42	1.1169E-30	2.75	1.4880E-28	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	Mt_tRNA	MT	14071	N/A
ENSMUSG00000026639	Lamb3	-18.32	1.1571E-30	0.29	1.5218E-28	1	0	4	0	N/A	N/A	N/A	ILMN_2605512	0.59	1.60E-08	protein_coding	1	195128151	"laminin, beta 3 Gene [Source:MGI (curated);Acc:MGI:99915]"
ENSMUSG00000084826	RP24-388N11.3	-20.75	1.6929E-30	0.13	2.1982E-28	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	2	128984402	N/A
ENSMUSG00000040084	Bub1b	-20.17	2.6506E-30	5.54	3.3988E-28	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	2	118423947	"budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1333889]"
ENSMUSG00000026414	Tnnt2	-21.08	6.5634E-30	9.36	8.3119E-28	1	1	4	0	1418726_a_at	2.38	1.9652E-09	N/A	N/A	N/A	protein_coding	1	137737452	"troponin T2, cardiac Gene [Source:MGI Symbol;Acc:MGI:104597]"
ENSMUSG00000011263	Exoc3l2	-21.29	1.4083E-28	0.10	1.7617E-26	1	1	4	0	N/A	N/A	N/A	ILMN_1226326	0.83	2.82E-02	protein_coding	7	20074405	exocyst complex component 3-like 2 Gene [Source:MGI (curated);Acc:MGI:1921713]
ENSMUSG00000085235	RP23-304H7.3	-23.87	1.6133E-28	123.72	1.9939E-26	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	processed_transcript	11	83631184	N/A
ENSMUSG00000057280	Musk	-18.64	4.0776E-28	3.46	4.9795E-26	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	4	58298834	"muscle, skeletal, receptor tyrosine kinase Gene [Source:MGI (curated);Acc:MGI:103581]"
ENSMUSG00000037578	Pkd2l1	-21.34	8.2875E-28	11.16	1.0001E-25	1	1	4	0	1457105_at	1.33	7.7503E-04	ILMN_2731331	1.57	1.49E-08	protein_coding	19	44222127	polycystic kidney disease 2-like 1 Gene [Source:MGI (curated);Acc:MGI:1352448]
ENSMUSG00000040170	Fmo2	-18.73	1.2693E-27	0.28	1.5139E-25	1	0	4	0	1453435_a_at	0.77	4.5076E-04	N/A	N/A	N/A	protein_coding	1	164804448	flavin containing monooxygenase 2 Gene [Source:MGI (curated);Acc:MGI:1916776]
ENSMUSG00000047502	RP23-97O7.6	-16.37	5.2199E-27	0.38	6.1546E-25	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	4	106353022	Uncharacterized protein C1orf175 homolog  [Source:UniProtKB/Swiss-Prot;Acc:A2AVR2]
ENSMUSG00000076617	Igh-6	-15.66	1.0310E-26	2.50	1.2019E-24	1	0	4	0	1427329_a_at	1.77	5.6632E-05	N/A	N/A	N/A	IG_C_gene	12	114657161	immunoglobulin heavy chain 6 (heavy chain of IgM) Gene [Source:MGI Symbol;Acc:MGI:96448]
ENSMUSG00000023236	Scg5	-12.13	1.2740E-26	0.41	1.4683E-24	1	0	4	0	1423150_at	0.53	2.6149E-08	ILMN_2592953	0.50	1.22E-09	protein_coding	2	113616519	secretogranin V Gene [Source:MGI (curated);Acc:MGI:98289]
ENSMUSG00000045968	5830403L16Rik	-21.33	5.7383E-26	8.72	6.5403E-24	1	1	4	0	N/A	N/A	N/A	ILMN_1237653	0.98	3.77E-01	protein_coding	1	155696672	RIKEN cDNA 5830403L16 gene Gene [Source:MGI Symbol;Acc:MGI:1923273]
ENSMUSG00000006154	Eps8l1	-19.29	8.2655E-26	3.83	9.3173E-24	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	7	4416344	EPS8-like 1 Gene [Source:MGI Symbol;Acc:MGI:1914675]
ENSMUSG00000076258	mmu-mir-689-2	-13.65	1.1777E-25	0.41	1.3131E-23	1	0	4	0	N/A	N/A	N/A	N/A	N/A	N/A	miRNA	16	11144133	mmu-mir-689-2 [Source:miRBase;Acc:MI0004655]
ENSMUSG00000021510	A530054K11Rik	-18.66	1.4816E-25	0.30	1.6342E-23	1	0	4	0	1442654_at	0.35	1.6420E-12	N/A	N/A	N/A	protein_coding	13	67717938	RIKEN cDNA A530054K11 gene Gene [Source:MGI Symbol;Acc:MGI:3036250]
ENSMUSG00000003477	Inmt	-20.90	1.6454E-25	6.65	1.7956E-23	1	1	4	0	1418697_at	1.10	2.3322E-01	ILMN_2803249	1.28	1.95E-04	protein_coding	6	55120620	indolethylamine N-methyltransferase Gene [Source:MGI (curated);Acc:MGI:102963]
ENSMUSG00000028575	4930579C15Rik	-22.69	2.8995E-25	25.56	3.1309E-23	1	1	4	0	1453265_at	2.02	1.6315E-07	N/A	N/A	N/A	protein_coding	4	94573958	RIKEN cDNA 4930579C15 gene Gene [Source:MGI Symbol;Acc:MGI:1915003]
ENSMUSG00000033685	Ucp2	-15.61	3.6235E-25	0.41	3.8718E-23	1	0	4	0	1448188_at	0.58	9.2987E-07	N/A	N/A	N/A	protein_coding	7	107641846	"uncoupling protein 2 (mitochondrial, proton carrier) Gene [Source:MGI (curated);Acc:MGI:109354]"
ENSMUSG00000033826	Dnahc8	-20.08	3.7970E-25	0.20	4.0154E-23	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	30761354	"dynein, axonemal, heavy chain 8 Gene [Source:MGI Symbol;Acc:MGI:107714]"
ENSMUSG00000069911	Fam196b	-16.96	4.3355E-25	0.38	4.5381E-23	1	0	4	0	1442379_at	0.59	7.0242E-05	ILMN_3162060	0.50	1.31E-08	protein_coding	11	34214822	"family with sequence similarity 196, member B Gene [Source:MGI Symbol;Acc:MGI:3643491]"
ENSMUSG00000035349	Mia2	-35.23	4.5610E-25	0.00	4.7259E-23	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	12	60196786	melanoma inhibitory activity 2 Gene [Source:MGI (curated);Acc:MGI:2159614]
ENSMUSG00000073403	CT030728.8	-35.24	7.6006E-25	0.00	7.7966E-23	1	1	4	0	N/A	N/A	N/A	N/A	N/A	N/A	protein_coding	17	36278703	"similar to MHC class I antigen precursor (LOC547349), mRNA [Source:RefSeq DNA;Acc:NM_001025208]"
ENSMUSG00000004415	Emid2	-18.90	9.0540E-25	3.34	9.1956E-23	1	0	4	0	N/A	N/A	N/A	ILMN_1247358	1.47	2.00E-08	protein_coding	5	137217629	EMI domain containing 2 Gene [Source:MGI (curated);Acc:MGI:2155345]
ENSMUSG00000087566	AC159313.1	-21.03	3.0908E-24	7.04	3.1084E-22	1	1	4	0	1435704_at	3.49	1.0572E-10	N/A	N/A	N/A	lincRNA	9	78023721	N/A
